site,intent_template_id,task_id,old_task_id,id_count,eval_types,intent_template,intent,success,agents,remark
shopping_admin,241,160,768,1,program_html,"{{quantity}} {{product}} arrived, update the stock","5 blue Cronus yoga pants with size 33 arrived, update the stock",yes,learn_by_interactive,
shopping_admin,42,158,760,1,program_html,Show me the route and driving time from {{city1}} to {{city2}},"Show me the route and driving time from Allentown, PA to the city where my E-commerce customer Amanda Kim lives",no,,
shopping_admin,271,150,710,1,program_html|url_match,Create a {{type}} report from {{start_date}} to {{end_date}},Create a shipping report from 08/05/2022 to 03/01/2023,yes,learn_by_interactive|webpilot,
shopping_admin,268,149,704,1,program_html|url_match,"Today is 3/15/2023, generate a {{report}} {{time_span}}","Today is 3/15/2023, generate a sales order report for last month",yes,learn_by_interactive|webpilot,
shopping_admin,253,145,678,1,program_html|url_match,Lookup orders that are {{status}},Lookup orders that are canceled,yes,learn_by_interactive,
shopping_admin,252,126,548,1,program_html,Add a new {{option}} {{value}} to {{base_setting}} of {{product}},Add a new color blue to size S and M of Frankie Sweatshirt,no,,
shopping_admin,240,125,538,1,program_html,Modify the address of order #{{order_id}} to {{address}},"Modify the address of order #299 to 456 Oak Avenue, New York, NY, 10001",no,,
shopping_admin,287,116,505,1,program_html,Make all {{product}} as out of stock,Make all Aeno capri as out of stock,no,,
shopping_admin,284,115,497,1,program_html,Update order #{{order}} with the {{service}} tracking number {{tracking}},Update order #307 with the DHL tracking number 24353446464,no,,
shopping_admin,280,114,491,1,string_match,"Notify {{name}} in their most recent pending order with message ""{{message}}""","Notify Sarah Miller in their most recent pending order with message ""the order is ready to be shipped soon!""",no,,
shopping_admin,275,113,488,1,program_html,"Change the page title of ""{{old-heading}}"" page on my site to ""{{heading}}"".","Change the page title of ""Home Page"" page on my site to ""This is the home page!! Leave here!!"".",yes,learn_by_interactive|webpilot,
shopping_admin,257,110,470,1,program_html,Cancel order {{id}},Cancel order 302,yes,webpilot,
shopping_admin,251,108,464,1,program_html,Update the product description of {{product}} to highlight the real user positive reviews by quoting the comments,Update the product description of Antonia Racer Tank to highlight the real user positive reviews by quoting the comments,no,,
shopping_admin,247,107,458,1,program_html,{{action}} the price of this product by {{amount}},Reduce the price of this product by $5,no,,
shopping_admin,242,106,454,1,program_html,"Disable {{product}} from the site, they are facing some quality issues.","Disable Ryker Tee Crew Neck from the site, they are facing some quality issues.",no,,
shopping_admin,237,101,423,1,program_html,Mark all {{brand}} shirts on sale,Mark all Hollister shirts on sale,no,,
shopping_admin,266,88,374,1,url_match,Preview the {{name}} theme for my shop,Preview the Magento Blank theme for my shop,yes,webpilot,
shopping_admin,248,80,348,1,string_match,How many reviews our shop received {{time}}?,How many reviews our shop received in May 2023?,yes,learn_by_interactive|webpilot,
shopping_admin,234,70,288,1,string_match,Tell me the {{attribute}} of the customer who has the most cancellations in the history,Tell me the name of the customer who has the most cancellations in the history,yes,learn_by_interactive,
shopping_admin,244,59,247,1,string_match,Show me the {{information}} of the customer who is the most unhappy with {{product}},Show me the email address of the customer who is the most unhappy with the style of Zoe products,no,,
shopping_admin,249,51,215,1,string_match,What are the key aspects that the customers don't like about {{product}},What are the key aspects that the customers don't like about Circe ice fleece,yes,learn_by_interactive,
shopping_admin,364,50,211,1,string_match,Find the customer name and email with phone number {{PhoneNum}},Find the customer name and email with phone number 8015551212,yes,learn_by_interactive|webpilot,
shopping_admin,366,48,202,1,string_match,Get the {{attribute}} of the {{status}} order,Get the date of the most recent canlled order,yes,learn_by_interactive|webpilot,
shopping_admin,367,47,196,1,string_match,Compare the payment difference of the last {{N}} {{status_1}} orders and {{status_2}} orders,Compare the payment difference of the last 4 cancelled orders and completed orders,no,,
shopping_admin,255,40,157,1,url_match,Show all customers,Show all customers,yes,webpilot,
shopping_admin,1002,33,131,1,string_match,What's the total number of items sold in the most recent {{k}} orders?,What's the total number of items sold in the most recent 7 orders?,no,,
shopping_admin,1001,32,127,1,string_match,What brands appear most frequently among the top search terms?,What brands appear most frequently among the top search terms?,yes,learn_by_interactive,
shopping_admin,250,30,123,1,string_match,Tell me the reasons why customers like {{product}},Tell me the reasons why customers like Circe's products,no,,
shopping_admin,245,27,115,1,string_match,Show me the name of the customers who have expressed dissatisfaction with {{product}},Show me the name of the customers who have expressed dissatisfaction with Chloe tank,no,,
shopping_admin,270,26,109,1,string_match,Presents the monthly count of successful orders {{period}} in MM:COUNT format,Presents the monthly count of successful orders from Jan to December 2022 in MM:COUNT format,yes,learn_by_interactive,
shopping_admin,274,21,95,1,string_match,Telll me the grand total of invoice {{id}}.,Telll me the grand total of invoice 000000002.,yes,learn_by_interactive|webpilot,
shopping_admin,277,17,77,1,string_match,What is the total count of {{status}} reviews amongst all the reviews?,What is the total count of Pending reviews amongst all the reviews?,yes,learn_by_interactive|webpilot,
shopping_admin,276,13,65,1,string_match,Which customer has completed the {{quantifier}} number of orders in the entire history?,Which customer has completed the fifth most number of orders in the entire history?,no,,
shopping_admin,285,8,43,1,string_match,List the top {{n}} search terms in my store,List the top 3 search terms in my store,no,,
shopping_admin,288,2,15,1,string_match,"Tell me the the number of reviews that our store received by far that mention term ""{{term}}""","Tell me the the number of reviews that our store received by far that mention term ""best""",yes,learn_by_interactive,
shopping_admin,279,0,4,1,string_match,What are the top-{{n}} best-selling product in {{period}},What are the top-3 best-selling product in Jan 2023,yes,learn_by_interactive,
