site,intent_template_id,task_id,old_task_id,id_count,eval_types,intent_template,intent,success,agents,remark
map,54,159,762,1,program_html,Get directions from {{location/address_1}} to {{location/address_2}} using {{transportation}} options.,Get directions from Carnegie Music Hall in NYC to Carnegie Mellon University using driving options.,no,,
map,42,158,760,1,program_html,Show me the route and driving time from {{city1}} to {{city2}},"Show me the route and driving time from Allentown, PA to the city where my E-commerce customer Amanda Kim lives",no,,
map,94,155,741,1,program_html,Show me the way from {{location}} to the home stadium of {{sport_team}} {{time}},Show me the way from Carnegie Mellon University to the home stadium of Boston home NBA team ,no,,
map,371,102,426,1,program_html,Find the page of {{description}} on the map.,Find the page of the place in Pennsylvania where a plane crashed during the September 11th attacks on the map.,no,,
map,782,92,383,1,string_match,I am arriving at Pittsburgh Airport. Show me the name of a Hyatt hotel if there is any nearby. Tell me the names of supermarkets that are within 15mins driving from the hotel,I am arriving at Pittsburgh Airport. Show me the name of a Hyatt hotel if there is any nearby. Tell me the names of supermarkets that are within 15mins driving from the hotel,no,,
map,781,91,382,1,string_match,I am arriving at Carnegie Mellon University. Find the nearby US Citizenship and Immigration Services and the walking distance to the nearest Social Security Administration from US Citizenship and Immigration Services,I am arriving at Carnegie Mellon University. Find the nearby US Citizenship and Immigration Services and the walking distance to the nearest Social Security Administration from US Citizenship and Immigration Services,no,,
map,59,90,381,1,url_match,Find the {{space}} around {{location}},Find the hotel around Carnegie Music Hall,yes,webpilot,
map,52,87,369,1,program_html,Pull up the description page of {{location}} on Map,Pull up the description page of Carnegie Music Hall on Map,no,,
map,58,85,367,1,string_match,Measure distance between {{location/address_1}} and {{location/address_2}} by walking,Measure distance between Carnegie Mellon University and CVS (closet one) by walking,no,,
map,47,69,287,1,string_match,How much time does it take from Pittsburgh to Philadelphia by car?,How much time does it take from Pittsburgh to Philadelphia by car?,yes,webpilot,
map,85,64,268,1,string_match,What's the closest national park to {{city}}? How long does it take to bike there?,"What's the closest national park to Vinalhaven, ME? How long does it take to bike there?",yes,learn_by_interactive,
map,501,61,254,1,string_match,What is the {{information}} of {{location}},What is the phone number of Western Pennsylvania Hospital,no,,
map,46,60,250,1,string_match,Tell me the coordinates of {{location}} in DD format,Tell me the coordinates of Apple Store near Pitt in DD format,yes,learn_by_interactive|webpilot,
map,39,57,236,1,string_match,Where is the nearest {{location}} from {{location2}} {{condition}},Where is the nearest pharmacy from Carnegie Mellon I can walk within 20mins,no,,
map,35,53,221,1,string_match,"I am at CMU Pittsburgh, how long it takes to the nearest {{location}} with different transportation methods?","I am at CMU Pittsburgh, how long it takes to the nearest USPS postal office with different transportation methods?",no,,
map,41,52,220,1,string_match,Show me the walking distance from nearby hotels to {{location}} that take at most {{n}} minutes?,"Show me the walking distance from nearby hotels to Gardner Steel Conference Center, that take at most 5 minutes?",no,,
map,36,38,155,1,string_match,What is the minimum travel time by car from {{location1}} to {{location2}}?,What is the minimum travel time by car from Animal Rescue League of Pittsburgh to Schenley park?,yes,learn_by_interactive|webpilot,
map,51,35,139,1,string_match,What is the estimated driving time between {{city1}} and {{city2}}?,What is the estimated driving time between the hometown of Joe Biden and Bridgeport?,yes,webpilot,
map,66,24,98,1,string_match,"Where is the nearest {{places}} to {{start}}, and what is the walking distance to it?","Where is the nearest tea cafe to University of Pittsburgh, and what is the walking distance to it?",no,,
map,120,23,97,1,string_match,Tell me the distance to drive from Carnegie Mellon University to the top computer science school in massachusetts,Tell me the distance to drive from Carnegie Mellon University to the top computer science school in massachusetts,yes,learn_by_interactive,
map,67,20,93,1,string_match,Which US states border {{state}}?,Which US states border New Hampshire?,yes,learn_by_interactive|webpilot,
map,64,19,88,1,string_match,"From my stay at {{hotel}}, what's the estimated driving time to reach {{place}}?","From my stay at Homewood Suites Southpointe, what's the estimated driving time to reach PPG Paints Arena?",yes,learn_by_interactive|webpilot,
map,72,18,82,1,string_match,"What is the duration required to first walk from {{place_A}} to {{place_B}}, and then drive to {{place_C}}?","What is the duration required to first walk from Massachusetts Institute of Technology to Harvard University, and then drive to Boston Logan International Airport?",no,,
map,65,16,75,1,string_match,"Given the following locations, {{place_list}}, what would be the optimal route to travel through them all in order to minimize total travel time? Please note the journey begins at the first place listed.","Given the following locations, ['Massachusetts Institute of Technology', 'Harvard University', 'Boston Logan International Airport'], what would be the optimal route to travel through them all in order to minimize total travel time? Please note the journey begins at the first place listed.",yes,learn_by_interactive,
map,70,15,71,1,string_match,What is the zip code of {{place}}?,What is the zip code of Chatham University?,yes,learn_by_interactive|webpilot,
map,69,12,58,1,string_match,Tell me the closest {{place1}}(s) to {{place2}},Tell me the closest cafe(s) to CMU Hunt library,no,,
map,68,11,56,1,string_match,How long does it take to walk from {{start}} to {{end}}?,How long does it take to walk from Carnegie Museum of Art to a library at CMU?,yes,learn_by_interactive,
map,77,7,37,1,string_match,Check if the {{place}} in pittsburgh can be reached in one hour by car from {{location}},Check if the police station in pittsburgh can be reached in one hour by car from gates building at CMU,yes,learn_by_interactive|webpilot,
map,78,6,33,1,string_match,"I will arrive {{place}} soon. Provide the name of a {{target1}} in the vicinity, if available. Then, tell me the {{information}} to {{target2}} from the hotel.","I will arrive Pittsburgh Airport soon. Provide the name of a Hilton hotel in the vicinity, if available. Then, tell me the the shortest walking distance to a supermarket from the hotel.",no,,
map,73,3,20,1,string_match,Compare the difference in time for walking and driving route from {{start}} to {{end}},Compare the difference in time for walking and driving route from Randyland to Carnegie Mellon University,yes,learn_by_interactive,
map,79,1,7,1,string_match,Tell me the full address of all {{airport_type}} that are within a driving distance of {{radius}} to {{start}},Tell me the full address of all international airports that are within a driving distance of 50 km to Carnegie Mellon University,yes,learn_by_interactive,
